,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
79,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.0,-129.84,18
80,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-148.74,1
81,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.05,-148.73999999999998,5
82,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0.0,-129.43999999999997,12
83,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0.0,-129.44000000000003,1
84,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-149.29000000000002,1
85,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0.05,-101.19999999999999,6
86,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0.05,-101.19999999999999,2
87,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0.0,-129.33999999999997,1
88,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-129.27999999999997,4
89,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0,-129.28,6
90,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0.0,-129.17999999999995,3
91,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0.0,-129.07,1
92,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0.0,-129.06999999999996,5
93,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0.05,-134.32,1
94,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0.05,-134.32000000000002,1
95,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-128.97,2
96,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0.0,-128.97000000000003,3
97,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.05,-148.74,2
