distribution,n,run,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,total
laplace,28,run_1,955760.0,20.0,198.4,11060.1,11080.9,20.54,692.0,10520.0,978593.0
laplace,28,run_2,955760.0,20.0,198.4,11848.69,11010.31,20.54,3002.0,8756.0,981621.0
laplace,28,run_3,955760.0,20.0,198.4,12548.49,11018.51,20.54,387.0,6989.0,979714.0
laplace,28,run_4,955760.0,20.0,198.4,9491.3,11066.7,20.54,3110.0,9399.0,979428.0
laplace,28,run_5,955760.0,20.0,198.4,12073.3,11109.7,20.54,977.0,4055.0,979920.0
laplace,29,run_1,955760.0,20.0,198.4,12636.29,11017.71,20.54,2157.0,10230.0,981571.0
laplace,29,run_2,955760.0,20.0,198.4,11053.09,11024.91,20.54,664.0,8376.0,978502.0
laplace,29,run_3,955760.0,20.0,198.4,10174.1,11089.9,20.54,591.0,5146.0,977615.0
laplace,29,run_4,955760.0,20.0,198.4,11711.9,11096.1,20.54,647.0,7527.0,979215.0
laplace,29,run_5,955760.0,20.0,198.4,13607.89,11030.11,20.54,293.0,3194.0,980691.0
laplace,3,run_1,955760.0,20.0,198.4,2053.5,10689.5,20.54,353.0,353.0,968856.0
laplace,3,run_2,955760.0,20.0,198.4,1950.09,10689.91,20.54,401.0,401.0,968801.0
laplace,3,run_3,955760.0,20.0,198.4,3593.5,10770.5,20.54,1639.0,1639.0,971763.0
laplace,3,run_4,955760.0,20.0,198.4,2294.9,10691.1,20.54,705.0,705.0,969451.0
laplace,3,run_5,955760.0,20.0,198.4,2167.9,10772.1,20.54,767.0,767.0,969467.0
laplace,30,run_1,955760.0,20.0,198.4,14355.5,11128.5,20.54,2648.0,15051.0,983892.0
laplace,30,run_2,955760.0,20.0,198.4,12722.3,11092.7,20.54,1157.0,5002.0,980732.0
laplace,30,run_3,955760.0,20.0,198.4,13415.09,11011.91,20.54,592.0,6025.0,980779.0
laplace,30,run_4,955760.0,20.0,198.4,10481.3,11110.7,20.54,1424.0,4363.0,978776.0
laplace,30,run_5,955760.0,20.0,198.4,16047.89,11040.11,20.54,3517.0,12602.0,986365.0
laplace,31,run_1,955760.0,20.0,198.4,14660.1,11113.9,20.54,894.0,5744.0,982428.0
laplace,31,run_2,955760.0,20.0,198.4,11666.49,11039.51,20.54,989.0,4808.0,979455.0
laplace,31,run_3,955760.0,20.0,198.4,14258.09,11045.91,20.54,1124.0,7074.0,982188.0
laplace,31,run_4,955760.0,20.0,198.4,12979.69,11039.31,20.54,546.0,3728.0,980325.0
laplace,31,run_5,955760.0,20.0,198.4,13894.1,11121.9,20.54,503.0,8024.0,981279.0
laplace,32,run_1,955760.0,20.0,198.4,15337.5,11134.5,20.54,699.0,11022.0,982931.0
laplace,32,run_2,955760.0,20.0,198.4,14229.09,11032.91,20.54,536.0,6387.0,981558.0
laplace,32,run_3,955760.0,20.0,198.4,12015.49,11043.51,20.54,3221.0,6758.0,982040.0
laplace,32,run_4,955760.0,20.0,198.4,11967.09,11052.91,20.54,1138.0,4663.0,979918.0
laplace,32,run_5,955760.0,20.0,198.4,15440.7,11127.3,20.54,997.0,12222.0,983325.0
