,x_0,x_1,x_10,x_11,x_12,x_13,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
81,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0.0,-61.22999999999999,10
82,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0.0,-61.230000000000004,2
83,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0.0,-61.03,4
84,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0.0,-61.029999999999966,4
85,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0.0,-60.59999999999999,1
86,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0.0,-60.519999999999996,4
87,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0.0,-60.39,4
88,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0.0,-60.20999999999999,2
89,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0.0,-60.21000000000001,2
90,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0.0,-60.16000000000002,10
91,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0.0,-60.16,7
92,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0.0,-59.759999999999984,1
93,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.0,-59.72,2
94,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0.0,-59.720000000000006,1
95,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0.0,-59.31999999999999,1
96,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0.0,-59.32000000000001,1
97,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0.0,-58.91000000000001,2
98,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0.07142857142857142,-79.17999999999999,1
99,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0.0,-58.79,2
100,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0.0,-58.79,1
101,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0.0,-58.620000000000005,1
102,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0.0,-58.61999999999998,1
103,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0.0,-58.16999999999998,1
104,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0.0,-58.17,2
105,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0.07142857142857142,-67.82999999999998,1
106,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.07142857142857142,-67.82999999999998,1
107,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0.0,-57.909999999999975,1
108,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0.0,-57.89,1
109,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0.0,-57.86999999999999,1
110,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0.0,-57.480000000000004,1
111,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0.0,-57.399999999999984,1
112,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0.0,-57.4,1
113,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0.0,-56.93,1
114,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0.0,-56.7,2
115,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0,-56.609999999999985,1
116,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0.0,-56.08999999999999,1
117,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0.0,-55.85,2
118,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0.0,-55.59999999999997,1
119,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-55.25,2
120,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0.07142857142857142,-70.00999999999999,1
121,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0.0,-54.7,1
122,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.0,-54.609999999999985,3
123,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0,-54.61,3
124,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0.0,-54.30999999999999,1
125,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0.07142857142857142,-71.86000000000001,1
126,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0.0,-54.040000000000006,1
127,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0.07142857142857142,-75.56999999999998,1
128,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0.0,-53.889999999999986,2
129,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0.0,-53.89000000000001,2
130,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0.0,-53.71999999999999,1
131,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0.07142857142857142,-64.69999999999999,1
132,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.0,-53.699999999999996,1
133,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0.0,-53.699999999999996,1
134,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0.0,-53.60000000000001,1
135,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0.0,-53.53000000000001,1
136,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0.0,-53.5,1
137,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0.0,-53.489999999999995,1
138,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0.0,-53.19,1
139,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0.0,-52.42000000000001,1
140,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,-51.90999999999999,1
141,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0.0,-51.30999999999999,1
142,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0.0,-50.97,1
143,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0.0,-50.81000000000001,1
144,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.0,-50.46,1
145,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0.0,-50.34,1
146,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0.07142857142857142,-76.41999999999999,1
147,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0.0,-48.46999999999999,1
148,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0.0,-48.35,1
149,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0.07142857142857142,-72.54,1
150,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.07142857142857142,-68.11999999999998,1
151,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0.0,-46.04,1
152,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0.07142857142857142,-67.07,1
153,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0.07142857142857142,-57.909999999999975,1
154,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0.07142857142857142,-79.17999999999999,1
155,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0.07142857142857142,-68.86999999999999,1
156,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0.07142857142857142,-67.07,1
157,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0.07142857142857142,-69.41000000000001,1
158,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0.0,-39.93,1
159,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0.07142857142857142,-60.39,1
